id,name,en,pinyin,desig,rank,display_ra,display_dec,display_scale
304,织女,Weaving Girl,Zhi Nü,织女,3,-79.7861,38.6376,2.1
305,左辖(附官),Left linchpin (Vassal of Chariot),Zuo Xia,左辖(附官),3,-171.9824,-16.196,0
306,周鼎,Tripod of the Zhou,Zhou Ding,周鼎,3,-163.4815,29.2049,3.2
307,诸王,Feudal Kings,Zhu Wang,诸王,3,79.4466,25.2846,17.8
308,柱(毕宿),Pillars (In Net Mansion),Zhu(Bi Xiu),柱(毕宿),3,81.6824,37.1579,13.3
309,柱(角宿),Pillars (In Horn Mansion),Zhu(Jiao Xiu),柱(角宿),3,-151.6582,-38.9929,16.4
310,柱史,Official of Royal Archives,Zhu Shi,柱史,3,-84.8107,71.3378,0
311,子,Son,Zi,子,3,88.0094,-34.7849,2
312,宗,Patriarchal Clan,Zong,宗,3,-78.4146,19.3639,2.4
313,宗人,Official of Religious Ceremonies,Zong Ren,宗人,3,-89.2853,2.8369,3.1
314,宗正,Official for the Royal Clan,Zong Zheng,宗正,3,-93.5793,3.6373,1.9
315,左更,Official in Charge of the Forest,Zuo Geng,左更,3,41.2887,18.5218,6.9
316,左旗,Left Flag,Zuo Qi,左旗,3,-60.7033,17.3449,8.5
317,左摄提,Left Conductor,Zuo She Ti,左摄提,3,-139.2541,15.3463,3.2
318,座旗,Seat Flags,Zuo Qi,座旗,3,102.0347,43.8294,9.9
